 t        y1(t)        y2(t)
77.5     1.843395     5.025078
77.6     1.822664     4.932167
77.7     1.815163     4.844662
77.8     1.821433     4.769077
77.9     1.840830     4.710854
78.0     1.871640     4.673954
78.1     1.911302     4.660634
78.2     1.956692     4.671378
78.3     2.004425     4.704984
78.4     2.051122     4.758747
78.5     2.093648     4.828723
78.6     2.129284     4.910033
78.7     2.155849     4.997184
78.8     2.171775     5.084389
78.9     2.176142     5.165886
79.0     2.168703     5.236245
79.1     2.149878     5.290670
79.2     2.120755     5.325288
79.3     2.083070     5.337427
79.4     2.039174     5.325869
79.5     1.991955     5.291038
79.6     1.944710     5.235097
79.7     1.900936     5.161904
79.8     1.864044     5.076786
79.9     1.837014     4.986117
80.0     1.822063     4.896763
80.1     1.820382     4.815443
80.2     1.832013     4.748135
80.3     1.855874     4.699588
80.4     1.889923     4.673000
80.5     1.931401     4.669859
80.6     1.977120     4.689941
80.7     2.023746     4.731437
80.8     2.068049     4.791168
80.9     2.107114     4.864858
81.0     2.138482     4.947443
81.1     2.160257     5.033385
81.2     2.171164     5.116993
81.3     2.170574     5.192722
81.4     2.158519     5.255484
81.5     2.135691     5.300931
81.6     2.103431     5.325743
81.7     2.063702     5.327888
81.8     2.019044     5.306841
81.9     1.972473     5.263741
82.0     1.927321     5.201420
82.1     1.887004     5.124291
82.2     1.854709     5.038043
82.3     1.833061     4.949170
82.4     1.823823     4.864383
82.5     1.827691     4.790003
82.6     1.844241     4.731416
82.7     1.872004     4.692659
82.8     1.908668     4.676175
82.9     1.951334     4.682721
83.0     1.996797     4.711417
83.1     2.041813     4.759911
83.2     2.083329     4.824612
83.3     2.118658     4.900977
83.4     2.145611     4.983816
83.5     2.162576     5.067606
83.6     2.168562     5.146794
83.7     2.163226     5.216102
83.8     2.146870     5.270820
83.9     2.120447     5.307086
84.0     2.085534     5.322158
84.1     2.044307     5.314656
84.2     1.999466     5.284749
84.3     1.954115     5.234260
84.4     1.911578     5.166637
84.5     1.875129     5.086763
84.6     1.847684     5.000585
84.7     1.831476     4.914604
84.8     1.827804     4.835281
84.9     1.836888     4.768463
85.0     1.857873     4.718904
85.1     1.888961     4.689923
85.2     1.927624     4.683228
85.3     1.970876     4.698887
85.4     2.015539     4.735418
85.5     2.058492     4.789988
85.6     2.096877     4.858659
85.7     2.128251     4.936683
85.8     2.150693     5.018800
85.9     2.162873     5.099552
86.0     2.164080     5.173575
86.1     2.154245     5.235898
86.2     2.133934     5.282227
86.3     2.104347     5.309216
86.4     2.067285     5.314723
86.5     2.025111     5.298027
86.6     1.980655     5.259978
86.7     1.937071     5.203047
86.8     1.897619     5.131230
86.9     1.865383     5.049789
87.0     1.842961     4.964825
87.1     1.832170     4.882740
87.2     1.833845     4.809656
87.3     1.847755     4.750889
87.4     1.872663     4.710535
87.5     1.906490     4.691197
87.6     1.946550     4.693879
87.7     1.989817     4.718003
87.8     2.033180     4.761547
87.9     2.073667     4.821254
88.0     2.108632     4.892904
88.1     2.135882     4.971598
88.2     2.153766     5.052067
88.3     2.161230     5.128962
88.4     2.157839     5.197156
88.5     2.143788     5.252023
88.6     2.119897     5.289720
88.7     2.087600     5.307443
88.8     2.048904     5.303666
88.9     2.006334     5.278327
89.0     1.962817     5.232935
89.1     1.921509     5.170560
89.2     1.885557     5.095671
89.3     1.857807     5.013814
89.4     1.840501     4.931137
89.5     1.835027     4.853847
89.6     1.841765     4.787654
89.7     1.860069     4.737298
89.8     1.888364     4.706200
89.9     1.924347     4.696265
90.0     1.965223     4.707824
90.1     2.007970     4.739707
90.2     2.049577     4.789405
90.3     2.087245     4.853303
90.4     2.118552     4.926954
90.5     2.141559     5.005370
90.6     2.154885     5.083317
90.7     2.157746     5.155609
90.8     2.149974     5.217393
90.9     2.132022     5.264429
91.0     2.104952     5.293353
91.1     2.070416     5.301928
91.2     2.030609     5.289251
91.3     1.988189     5.255911
91.4     1.946139     5.204043
91.5     1.907574     5.137259
91.6     1.875477     5.060418
91.7     1.852410     4.979249
91.8     1.840236     4.899850
91.9     1.839906     4.828145
92.0     1.851368     4.769370
92.1     1.873596     4.727656
92.2     1.904732     4.705750
92.3     1.942296     4.704877
92.4     1.983433     4.724740
92.5     2.025165     4.763625
92.6     2.064607     4.818595
92.7     2.099154     4.885738
92.8     2.126614     4.960437
92.9     2.145308     5.037668
93.0     2.154118     5.112282
93.1     2.152529     5.179299
93.2     2.140630     5.234182
93.3     2.119121     5.273108
93.4     2.089295     5.293223
93.5     2.053007     5.292870
93.6     2.012615     5.271774
93.7     1.970876     5.231156
93.8     1.930792     5.173735
93.9     1.895386     5.103597
94.0     1.867432     5.025904
94.1     1.849173     4.946470
94.2     1.842070     4.871247
94.3     1.846647     4.805803
94.4     1.862445     4.754849
